"Bitcoin","Биткойн"
"CDE Coin","Монета CDE"
"Litecoin","Лайткойн"
"Bitcoin Cash","Биткойн Кэш"
"Dash","Дэш"
"Ethereum","Эфир"
"Monero","Монеро"
"Ripple","Риппл"
"Zcash","Зет Кэш"
"Euro","Евро"
"Pound Sterling","Британский Фунт Стерлингов"
"British Pound","Британский Фунт Стерлингов"
"Russian Ruble","Российский Рубль"
"US Dollar","Доллар США"
Code,Код
"Sort order","Сортировка"
"Sort Order","Сортировка"
"Precision","Точность"
"Import Enabled","Импорт разрешен"
"Currency Rate Import Service","Сервис импорта курсов валют"
"Scheduled Import Settings","Выбор расписания импорта"
"If not selected the default settings will be used","Если не выбрано, будут применены установки по умолчанию"
General,Общее
Frontend,Витрина
"Page Title","Заголовок страницы"
"Currency Symbol","Символ валюты"
Developer,Для разработчиков
"Import Service","Сервис импорта"
"Import schedule","Расписание"
"Recommended transaction fee","Рекомендуемая стоимость транзакции"
"Transaction fee expressed in this currency","Стоимость трпанзакции выражена в текущей валюте"
"A total of %1 coins have been disabled.","Всего валют деактивировано: %1."
"A total of %1 record(s) have been deleted.","Всего записей удалено: %1."
"A total of %1 coins have been enabled.","Всего валют активировано: %1."
"Add New Currency","Добавить новую валюту"
"All Store Views","All Store Views"
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"An error occurred while disabling coins.","An error occurred while disabling coins."
"An error occurred while enabling coins.","An error occurred while enabling coins."
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Are you sure you want to delete the Coin ""${ $.$data.name }"" ?","Вы уверены, что хотите удалить валюту ""${ $.$data.name }"" ?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Coin in Store views","Coin in Store views"
"Currency Information","Информация о валюте"
Coins,"Валюта"
Avatar,Аватар
Back,"Назад"
Description,"Описание"
"Could not save the coin: %1","Невозможно сохранить валюту: %1"
Delete,"Удалить"
"Delete currency","Удалить валюту"
"Delete items","Удалить элемент"
"Delete ""${ $.$data.name }""","Удалить ""${ $.$data.name }"""
Disable,Disable
Edit,"Редактировать"
"Edit Coin","Редактировать валюту"
Enable,Enable
"Enter currency name here","Введите название валюты"
"Enter currency code","Введите код валюты"
"File can not be saved to the destination folder.","Файл не может быть сохранен в выбранную папку."
Home,Домой
ID,ID
"In RSS","В RSS"
"Is Active","Активно"
label,метка
"Meta Description","Мета описание"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta Title"
"Name","Название"
"New Coin","Новая валюта"
Currency,Валюта
No,"Нет"
"Please correct the data sent.","Пожалуйста, исправьте отправленные данные."
"Requested coin doesn\'t exist","Запрашиваемая валюта не найдена"
Reset,Сбросить
"Save Currency","Сохранить"
"Save and Continue Edit","Сохранить и продолжить редактированиие"
"Show In RSS","Показать в RSS"
"Something went wrong while getting the avatar url.","Что-то пошло не так при получении адреса аватара."
"Something went wrong while saving the coin.","Что-то пошло не так при сохранении валюты."
"Something went wrong while saving the file(s).","Что-то пошло не так при сохранении файла (файлов)."
"Store View","Представление магазина"
"Subscribe to RSS Feed","Подписаться на канал RSS"
"There are no coins at this moment","Ни одна валюта не установлена"
"The coin has been deleted.","Валюта была удалена."
"The coin no longer exists.","Эта валюта больше не существует."
"There was a problem deleting the coin","Не удалось удалить валюту"
"There was a problem saving the coin","Возникла проблема при сохранении валюты"
"Type","Тип"
"Unable to remove coin %1","Не получилось удалить валюту %1"
"Updated at","Последнее обновление"
"URL Key","Ключ URL"
"Url Key","Ключ Url"
"We can\'t find a coin to delete.","Валюта не найдена."
"Yes","Да"
"The currency was saved successfully.","Валюта была сохранена успешно."
"Currency code must be unique for given Store View.","Код валюты должен быть уникальным для данного представления магазина."
"Supported currency","Валюта"
"Exchange rate","Курс обмена"
"Current exchange rate to Bitcoin","Текущий обменный курс к Биткойну"
"Min. number of confirmations","Минимальное количество подтверждений"
"Enter minimum number of required network confirmations. Default: 2","Введите минимальное требуемое количество подтверждений сети. По умолчанию: 2"
"Transactioin fee","Стоимость транзакции"
"Included into RSS feed","Включено в RSS фид"
"Rate to %1","Курс к %1"
"Rate %1","Курс %1"
"Current exchange rate to %1","Текущий курс к %1"
"Symbol","Символ"
"Is Fiat","Фиат"
"Logo","Лого"
"Display Currency Settings","Показ валют на витрине"
"Supported currencies","Валюта"
"There are no active currencies at this moment","Нет активных валют в настоящее время"
"Last updated","Последнее обновление"
"We can\'t retrieve the rates from url %1.","Не удалось получить курс обмена по адресу %1."
"Api Key","Ключ Api"
"Connection Timeout (sec)","Время таймаута (сек)"
"Currency list meta title","Мета заголовок списка валют"
"Currency list meta description","Мета описание списка валют"
"Currency list meta keywords","Ключевые слова списка валют"
"Currency list url","URL страницы списка валют"
"Currency url prefix","Префикс url страницы списка валют"
"Currency url suffix","Суфикс url страницы списка валют"
"Enable RSS","Разрешить RSS"
"RSS Cache Lifetime","Длительность жизни кэша RSS"
"in seconds","в секундах"
"Number of currencies per row","Количество валют в строке"
"Currency Rates setup page","Страница установки курса обмена валют"
"Top menu title","Заголовок в топ меню"
"Enable top menu","Разрешить топ меню"
"Display Currency Settings","Показывать установки валют"
"Enter the number of decimal places. Default: 2","Введите количество десятичных знаков. По умолчанию: 2"
"Decimal Length","Количество десятичных знаков"
"Price Precision,"Разрядность цены"
"Base currency","Базовая валюта"
"Currency Rates","Курсы валют"
"Updated at","время обновления"
Service,Сервис
"Use currency settings","Использовать установки валюты"
Action,Действие


